graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,19.0,0.025675675675675677,0.7081081081081081,60,9,10d,"[T9 W: 0, T18 W: 6.0, T17 W: 0]",0.25
erdos-renyi,25,7,26.0,0.03233830845771144,0.8781094527363185,60,10,10d,"[T8 W: 0, T20 W: 14.0, T14 W: 0]",0.25
erdos-renyi,25,7,27.0,0.038135593220338986,0.9180790960451978,60,10,10d,"[T0 W: 0, T21 W: 18.0, T18 W: 0]",0.25
erdos-renyi,25,7,36.0,0.05157593123209169,0.8681948424068768,60,9,10d,"[T7 W: 0, T19 W: 18.0, T10 W: 0]",0.25
erdos-renyi,25,7,25.0,0.028538812785388126,0.8835616438356164,70,11,10d,"[T12 W: 0, T13 W: 17.0, T14 W: 0]",0.25
erdos-renyi,25,9,29.0,0.026901669758812616,0.8812615955473099,90,13,10d,"[T1 W: 0, T14 W: 14.0, T9 W: 0]",0.33
erdos-renyi,25,9,30.0,0.028680688336520075,1.1261950286806883,80,15,10d,"[T18 W: 0, T24 W: 15.0, T19 W: 0]",0.33
erdos-renyi,25,9,31.0,0.02700348432055749,0.9599303135888502,90,14,10d,"[T2 W: 0, T13 W: 15.0, T8 W: 0]",0.33
erdos-renyi,25,9,26.0,0.024574669187145556,0.8572778827977315,80,14,10d,"[T1 W: 0, T13 W: 17.0, T20 W: 0]",0.33
erdos-renyi,25,9,29.0,0.028712871287128714,0.8405940594059406,80,12,10d,"[T9 W: 0, T24 W: 17.0, T20 W: 0]",0.33
erdos-renyi,25,7,25.0,0.031486146095717885,0.8853904282115869,84,11,12d,"[T20 W: 0, T2 W: 8.0, T23 W: 0]",0.25
erdos-renyi,25,7,29.0,0.030020703933747412,0.9989648033126294,84,13,12d,"[T11 W: 0, T24 W: 20.0, T21 W: 0]",0.25
erdos-renyi,25,7,25.0,0.029691211401425176,0.9156769596199525,84,11,12d,"[T2 W: 0, T24 W: 12.0, T21 W: 0]",0.25
erdos-renyi,25,7,25.0,0.03280839895013123,0.8044619422572179,72,9,12d,"[T0 W: 0, T8 W: 9.0, T9 W: 0]",0.25
erdos-renyi,25,7,24.0,0.02891566265060241,0.9650602409638555,84,10,12d,"[T16 W: 0, T5 W: 10.0, T19 W: 0]",0.25
erdos-renyi,25,9,25.0,0.02345215759849906,0.651031894934334,96,12,12d,"[T9 W: 0, T20 W: 9.0, T10 W: 0]",0.33
erdos-renyi,25,9,27.0,0.02406417112299465,0.9946524064171123,108,16,12d,"[T5 W: 0, T4 W: 9.0, T23 W: 0]",0.33
erdos-renyi,25,9,27.0,0.024412296564195298,0.969258589511754,108,16,12d,"[T3 W: 0, T0 W: 9.0, T7 W: 0]",0.33
erdos-renyi,25,9,28.0,0.026168224299065422,0.8457943925233645,96,12,12d,"[T9 W: 0, T23 W: 14.0, T17 W: 0]",0.33
erdos-renyi,25,9,27.0,0.025714285714285714,0.8552380952380952,96,12,12d,"[T10 W: 0, T17 W: 9.0, T23 W: 0]",0.33
erdos-renyi,50,13,47.0,0.013897102306327618,0.8832052040212892,10,22,10,"[T17 W: 0, T13 W: 12.0, T48 W: 4.0, T13 W: 5.0, T23 W: 0]",0.25
erdos-renyi,50,13,48.0,0.015544041450777202,1.0145725388601037,10,22,10,"[T34 W: 0, T20 W: 6.0, T37 W: 3.0, T32 W: 15.0, T45 W: 0]",0.25
erdos-renyi,50,13,40.0,0.012634238787113077,0.9425142135186355,10,25,10,"[T2 W: 0, T47 W: 6.0, T43 W: 5.0, T4 W: 0]",0.25
erdos-renyi,50,13,37.0,0.012179065174456879,0.8413429888084266,10,21,10,"[T3 W: 0, T0 W: 5.0, T13 W: 12.0, T7 W: 0]",0.25
erdos-renyi,50,13,54.0,0.016333938294010888,0.9150030248033878,10,25,10,"[T45 W: 0, T29 W: 18.0, T35 W: 10.0, T46 W: 0]",0.25
erdos-renyi,50,17,59.0,0.014047619047619048,1.1095238095238096,10,32,10,"[T36 W: 0, T30 W: 6.0, T3 W: 6.0, T10 W: 7.0, T46 W: 0]",0.33
erdos-renyi,50,17,58.0,0.01441351888667992,1.0059642147117296,10,28,10,"[T12 W: 0, T24 W: 16.0, T47 W: 4.0, T43 W: 18.0, T18 W: 0]",0.33
