graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route,ratio
erdos-renyi,15,4,26.0,0.08333333333333333,0.8910256410256411,24,24,"[T5 W: 0, T3 W: 9.0, T14 W: 0]",0.25
erdos-renyi,15,4,20.0,0.08130081300813008,1.3373983739837398,24,24,"[T11 W: 0, T10 W: 13.0, T12 W: 0]",0.25
erdos-renyi,15,5,36.0,0.09944751381215469,1.3646408839779005,24,24,"[T5 W: 0, T0 W: 9.0, T10 W: 0]",0.33
erdos-renyi,15,5,27.0,0.06923076923076923,1.0512820512820513,24,24,"[T2 W: 0, T10 W: 18.0, T5 W: 0]",0.33
erdos-renyi,15,5,26.0,0.06989247311827956,1.0672043010752688,24,24,"[T1 W: 0, T6 W: 14.0, T3 W: 0]",0.33
erdos-renyi,15,5,34.0,0.07423580786026202,1.259825327510917,24,24,"[T11 W: 0, T1 W: 18.0, T12 W: 0]",0.33
erdos-renyi,15,5,18.0,0.07086614173228346,1.188976377952756,24,24,"[T6 W: 0, T11 W: 9.0, T7 W: 0]",0.33
erdos-renyi,15,7,25.0,0.04716981132075472,1.0622641509433963,24,24,"[T5 W: 0, T13 W: 16.0, T14 W: 0]",0.45
erdos-renyi,15,7,23.0,0.04935622317596566,1.0,24,24,"[T4 W: 0, T0 W: 8.0, T12 W: 0]",0.45
erdos-renyi,15,7,31.0,0.05916030534351145,0.9980916030534351,24,24,"[T2 W: 0, T6 W: 14.0, T11 W: 0]",0.45
erdos-renyi,15,7,27.0,0.04963235294117647,1.0533088235294117,24,24,"[T3 W: 0, T13 W: 13.0, T10 W: 0]",0.45
erdos-renyi,15,7,27.0,0.05895196506550218,1.0218340611353711,24,24,"[T3 W: 0, T0 W: 18.0, T13 W: 0]",0.45
erdos-renyi,15,4,36.0,0.0967741935483871,1.2365591397849462,48,48,"[T9 W: 0, T1 W: 23.0, T14 W: 0]",0.25
erdos-renyi,15,4,22.0,0.06707317073170732,0.9878048780487805,48,48,"[T7 W: 0, T6 W: 15.0, T8 W: 0]",0.25
erdos-renyi,15,4,24.0,0.0851063829787234,1.0390070921985815,48,48,"[T2 W: 0, T5 W: 8.0, T8 W: 0]",0.25
erdos-renyi,15,4,19.0,0.08796296296296297,1.0694444444444444,48,48,"[T6 W: 0, T11 W: 13.0, T10 W: 0]",0.25
erdos-renyi,15,4,28.0,0.0875,1.2375,48,48,"[T0 W: 0, T1 W: 16.0, T8 W: 0]",0.25
erdos-renyi,15,5,27.0,0.07458563535911603,1.0082872928176796,48,48,"[T9 W: 0, T11 W: 9.0, T10 W: 0]",0.33
erdos-renyi,15,5,25.0,0.06188118811881188,0.9801980198019802,48,48,"[T1 W: 0, T10 W: 16.0, T7 W: 0]",0.33
erdos-renyi,15,5,24.0,0.075,0.85,48,48,"[T4 W: 0, T7 W: 9.0, T13 W: 0]",0.33
erdos-renyi,15,5,24.0,0.07142857142857142,1.3273809523809523,48,48,"[T0 W: 0, T8 W: 11.0, T14 W: 0]",0.33
erdos-renyi,15,5,29.0,0.08100558659217877,1.2150837988826815,48,48,"[T4 W: 0, T13 W: 12.0, T14 W: 0]",0.33
erdos-renyi,15,7,25.0,0.04789272030651341,1.1226053639846743,48,48,"[T1 W: 0, T3 W: 17.0, T14 W: 0]",0.45
erdos-renyi,15,7,26.0,0.047619047619047616,1.0036630036630036,48,48,"[T8 W: 0, T7 W: 17.0, T10 W: 0]",0.45
erdos-renyi,15,7,30.0,0.055350553505535055,1.014760147601476,48,48,"[T4 W: 0, T2 W: 17.0, T10 W: 0]",0.45
erdos-renyi,15,7,26.0,0.053497942386831275,1.1358024691358024,48,48,"[T2 W: 0, T1 W: 9.0, T7 W: 0]",0.45
erdos-renyi,15,7,25.0,0.06009615384615385,0.7884615384615384,48,48,"[T2 W: 0, T7 W: 17.0, T9 W: 0]",0.45
erdos-renyi,35,9,35.0,0.02330226364846871,0.8588548601864181,10,10,"[T2 W: 0, T10 W: 7.0, T12 W: 2.0, T26 W: 0]",0.25
erdos-renyi,35,9,27.0,0.018218623481781375,0.9041835357624831,10,10,"[T4 W: 0, T20 W: 17.0, T12 W: 0]",0.25
erdos-renyi,35,9,31.0,0.02052980132450331,0.9172185430463576,10,10,"[T8 W: 0, T16 W: 16.0, T12 W: 0]",0.25
erdos-renyi,35,9,26.0,0.016352201257861635,0.9452830188679245,10,10,"[T18 W: 0, T22 W: 5.0, T32 W: 5.0, T34 W: 0]",0.25
erdos-renyi,35,9,27.0,0.018646408839779006,0.8487569060773481,10,10,"[T10 W: 0, T31 W: 15.0, T16 W: 0]",0.25
erdos-renyi,35,12,33.0,0.01614481409001957,0.8170254403131115,10,10,"[T16 W: 0, T18 W: 7.0, T19 W: 12.0, T22 W: 0]",0.33
erdos-renyi,35,12,31.0,0.015625,1.1587701612903225,10,10,"[T8 W: 0, T17 W: 4.0, T16 W: 4.0, T33 W: 0]",0.33
erdos-renyi,35,12,28.0,0.01557285873192436,0.9232480533926585,10,10,"[T22 W: 0, T19 W: 12.0, T0 W: 6.0, T26 W: 0]",0.33
erdos-renyi,35,12,37.0,0.017097966728280962,0.9519408502772643,10,10,"[T7 W: 0, T28 W: 12.0, T10 W: 15.0, T17 W: 0]",0.33
erdos-renyi,35,12,33.0,0.017368421052631578,0.9563157894736842,10,10,"[T0 W: 0, T1 W: 9.0, T25 W: 0]",0.33
erdos-renyi,35,16,53.0,0.01935719503287071,1.0065741417092768,10,10,"[T3 W: 0, T15 W: 16.0, T24 W: 11.0, T10 W: 0]",0.45
erdos-renyi,35,16,61.0,0.02166193181818182,1.0617897727272727,10,10,"[T5 W: 0, T9 W: 11.0, T29 W: 4.0, T11 W: 12.0, T20 W: 0]",0.45
erdos-renyi,35,16,63.0,0.022277227722772276,1.199080622347949,10,10,"[T22 W: 0, T14 W: 16.0, T9 W: 15.0, T33 W: 0]",0.45
